,Line ID,Shape ID,Departure Time,Vehicle ID,Scheduled Travel Time (min),Travel Time (min),Distance (m),Energy Consumption (kWh)
2417,1-800,1-800-R-123,24:49:00,veh_2521_bus,60.0,59.96666666666667,26476.70473041828,25.349736006757354
2418,1-800,1-800-R-123,25:04:00,veh_2522_bus,60.0,59.96666666666667,26476.70473041828,25.349736006757354
2419,1-801,1-801-A-138,05:05:00,veh_2768_bus,61.0,59.733333333333334,25771.243573017044,27.381087713410412
2420,1-801,1-801-A-138,05:20:00,veh_2656_bus,62.0,60.733333333333334,25771.243573017044,27.498147472498314
2421,1-801,1-801-A-138,05:32:00,veh_2805_bus,66.0,64.73333333333333,25771.243573017044,27.851420420257664
2422,1-801,1-801-A-138,05:46:00,veh_2817_bus,70.0,68.73333333333333,25771.243573017044,27.854200197536905
2423,1-801,1-801-A-138,06:00:00,veh_2827_bus,72.0,70.73333333333333,25771.243573017044,28.214346599854135
2424,1-801,1-801-A-138,06:14:00,veh_2748_bus,74.0,72.66666666666667,25771.243573017044,28.344471670163536
2425,1-801,1-801-A-138,06:27:00,veh_2775_bus,77.0,74.81666666666666,25771.243573017044,28.385534161248895
2426,1-801,1-801-A-138,06:37:00,veh_2829_bus,80.0,77.75,25771.243573017044,28.57623775171917
2427,1-801,1-801-A-138,06:44:00,veh_2761_bus,83.0,81.06666666666666,25771.243573017044,28.40795590635291
2428,1-801,1-801-A-138,06:50:00,veh_2644_bus,85.0,82.86666666666666,25771.243573017044,28.354845642341996
2429,1-801,1-801-A-138,06:56:00,veh_2648_bus,88.0,85.75,25771.243573017044,28.73433259184346
2430,1-801,1-801-A-138,07:04:00,veh_2649_bus,88.0,85.86666666666666,25771.243573017044,28.793610167812183
2431,1-801,1-801-A-138,07:10:00,veh_2823_bus,90.0,87.86666666666666,25771.243573017044,28.635624932572618
2432,1-801,1-801-A-138,07:16:00,veh_2694_bus,92.0,89.86666666666666,25771.243573017044,28.694593580659276
2433,1-801,1-801-A-138,07:23:00,veh_2801_bus,92.0,89.86666666666666,25771.243573017044,28.775714869900245
2434,1-801,1-801-A-138,07:31:00,veh_2733_bus,91.0,89.68333333333334,25771.243573017044,28.764755647452574
2435,1-801,1-801-A-138,07:41:00,veh_2766_bus,89.0,87.71666666666667,25771.243573017044,28.848815639660128
2436,1-801,1-801-A-138,07:52:00,veh_2764_bus,85.0,83.73333333333333,25771.243573017044,28.891314099367385
2437,1-801,1-801-A-138,08:02:00,veh_2624_bus,81.0,79.56666666666666,25771.243573017044,28.618613137848726
2438,1-801,1-801-A-138,08:11:00,veh_2625_bus,81.0,79.73333333333333,25771.243573017044,28.81217094890712
2439,1-801,1-801-A-138,08:22:00,veh_2804_bus,80.0,78.85,25771.243573017044,28.759009833193886
2440,1-801,1-801-A-138,08:34:00,veh_2657_bus,79.0,77.73333333333333,25771.243573017044,28.708686039839495
2441,1-801,1-801-A-138,08:43:00,veh_2658_bus,79.0,77.68333333333334,25771.243573017044,28.928376514175568
2442,1-801,1-801-A-138,08:54:00,veh_2739_bus,78.0,76.73333333333333,25771.243573017044,28.610368597113712
2443,1-801,1-801-A-138,09:04:00,veh_2740_bus,78.0,76.66666666666667,25771.243573017044,28.487710648760995
2444,1-801,1-801-A-138,09:14:00,veh_2741_bus,78.0,76.73333333333333,25771.243573017044,28.634511593402575
2445,1-801,1-801-A-138,09:25:00,veh_2661_bus,77.0,75.8,25771.243573017044,28.577567302130923
